Student Name,Student ID,Faculty,Year of Intake,Expected Year of Graduation,Gender,Major Courses,Sponsorship Status,Nationality,Units to Complete Degree,Level of Education, Classes Attended,Classes to Graduate
Mary Brown,52734594,Chandaria School of Business,2022,2023,Male,Marketing,Self-sponsored,Chinese,38,Masters,49,15
Sarah Jones,79239979,"School of Communication, Cinematic & Creative Arts",2025,2027,Male,Graphic Design,Self-sponsored,Brazilian,35,Masters,49,13
Sarah Miller,86147257,Chandaria School of Business,2024,2027,Male,Human Resource Management,Self-sponsored,Ugandan,83,PhD,33,15
Emily Williams,82611715,"School of Communication, Cinematic & Creative Arts",2023,2027,Female,Film Production,Sponsored,Chinese,66,PhD,13,16
Emily Miller,10188409,School of Pharmacy & Health Sciences,2024,2028,Other,Nursing,Sponsored,South African,153,Undergraduate,41,41
Emily Doe,72407241,School of Humanities & Social Sciences,2024,2028,Male,International Relations,Self-sponsored,Nigerian,156,Undergraduate,28,43
David Miller,64802842,Chandaria School of Business,2023,2024,Other,Finance,Sponsored,Mexican,39,Masters,47,16
Peter Jones,17074494,School of Pharmacy & Health Sciences,2022,2026,Male,Pharmacology,Self-sponsored,Indian,158,Undergraduate,14,40
Mary Williams,82716954,Chandaria School of Business,2024,2026,Female,Finance,Self-sponsored,Chinese,54,Masters,27,14
Emily Wilson,18460253,School of Humanities & Social Sciences,2025,2030,Female,Sociology,Self-sponsored,South African,86,PhD,46,12
Sarah Jones,43095482,"School of Communication, Cinematic & Creative Arts",2022,2024,Male,Journalism,Self-sponsored,German,41,Masters,13,13
Jane Davis,93466204,School of Humanities & Social Sciences,2022,2024,Male,Psychology,Sponsored,Rwandan,37,Masters,10,14
Michael Jones,83129810,School of Pharmacy & Health Sciences,2023,2028,Female,Pharmacology,Self-sponsored,Indian,70,PhD,11,13
Sarah Doe,30276081,"School of Graduate Studies, Research & Extension",2023,2027,Male,Advanced Statistics,Sponsored,Australian,133,Undergraduate,18,41
Mary Williams,93986966,Chandaria School of Business,2022,2025,Female,Human Resource Management,Self-sponsored,American,147,Undergraduate,18,44
David Miller,27085182,School of Humanities & Social Sciences,2025,2026,Female,Sociology,Self-sponsored,Canadian,51,Masters,22,13
Peter Davis,19399962,"School of Communication, Cinematic & Creative Arts",2024,2028,Male,Film Production,Self-sponsored,Canadian,159,Undergraduate,17,40
Michael Wilson,40118123,School of Science & Technology,2025,2026,Other,Mathematics,Self-sponsored,Rwandan,46,Masters,34,13
Mary Davis,49829875,School of Pharmacy & Health Sciences,2025,2028,Male,Pharmacology,Self-sponsored,Australian,62,PhD,12,15
Mary Jones,23678001,"School of Communication, Cinematic & Creative Arts",2022,2026,Male,Journalism,Self-sponsored,Chinese,84,PhD,42,13
Peter Jones,87253291,"School of Communication, Cinematic & Creative Arts",2025,2028,Other,Journalism,Self-sponsored,South African,78,PhD,34,14
Michael Doe,55156657,Chandaria School of Business,2025,2026,Female,Finance,Self-sponsored,French,56,Masters,50,13
Sarah Jones,15553672,School of Pharmacy & Health Sciences,2024,2026,Male,Public Health,Self-sponsored,Brazilian,41,Masters,41,16
Emily Williams,53870851,"School of Graduate Studies, Research & Extension",2022,2023,Other,Research Methodology,Self-sponsored,Chinese,55,Masters,23,16
Emily Smith,77684798,School of Pharmacy & Health Sciences,2022,2027,Male,Public Health,Self-sponsored,Brazilian,67,PhD,37,15
Michael Miller,17098781,School of Pharmacy & Health Sciences,2023,2024,Male,Nursing,Sponsored,Brazilian,42,Masters,38,15
Mary Jones,33936795,School of Science & Technology,2024,2026,Female,Mathematics,Self-sponsored,South African,31,Masters,23,12
Jane Davis,51726187,"School of Communication, Cinematic & Creative Arts",2025,2030,Other,Film Production,Sponsored,British,73,PhD,40,15
Peter Miller,91471065,Chandaria School of Business,2022,2025,Female,Marketing,Sponsored,American,54,PhD,16,12
John Jones,91102942,School of Science & Technology,2023,2024,Female,Biotechnology,Self-sponsored,Indian,48,Masters,10,14
John Brown,16460132,School of Humanities & Social Sciences,2024,2025,Male,Psychology,Sponsored,South African,33,Masters,30,12
Emily Miller,73995173,School of Science & Technology,2023,2025,Male,Mathematics,Sponsored,American,49,Masters,44,13
Jane Williams,77387910,"School of Graduate Studies, Research & Extension",2022,2026,Other,Advanced Statistics,Self-sponsored,Rwandan,45,PhD,15,12
David Jones,76227635,"School of Graduate Studies, Research & Extension",2024,2028,Male,Advanced Statistics,Self-sponsored,Canadian,143,Undergraduate,26,44
John Miller,42796000,School of Pharmacy & Health Sciences,2023,2028,Other,Pharmacology,Self-sponsored,Tanzanian,47,PhD,38,12
Emily Brown,20707300,School of Pharmacy & Health Sciences,2022,2023,Other,Pharmacology,Sponsored,Mexican,33,Masters,41,13
Emily Jones,68475135,School of Humanities & Social Sciences,2025,2029,Other,International Relations,Sponsored,Mexican,46,PhD,37,15
Jane Jones,61017094,School of Science & Technology,2025,2026,Male,Mathematics,Sponsored,French,59,Masters,31,14
Michael Miller,79064981,"School of Communication, Cinematic & Creative Arts",2023,2026,Female,Film Production,Sponsored,American,46,PhD,34,13
Jane Brown,46278287,Chandaria School of Business,2024,2025,Other,Finance,Sponsored,Australian,37,Masters,38,12
Jane Wilson,95582108,"School of Graduate Studies, Research & Extension",2023,2027,Other,Advanced Statistics,Sponsored,Chinese,146,Undergraduate,30,40
Mary Jones,64764521,Chandaria School of Business,2024,2027,Other,Human Resource Management,Self-sponsored,Nigerian,48,PhD,39,16
David Smith,72215656,School of Humanities & Social Sciences,2023,2027,Other,Sociology,Self-sponsored,Chinese,73,PhD,46,16
Mary Williams,27819088,School of Humanities & Social Sciences,2025,2027,Male,Sociology,Sponsored,German,52,Masters,13,16
John Doe,88736675,"School of Graduate Studies, Research & Extension",2022,2025,Male,Thesis Writing,Sponsored,Australian,160,Undergraduate,29,40
Peter Williams,94314467,School of Science & Technology,2025,2029,Other,Biotechnology,Sponsored,American,147,Undergraduate,38,41
Mary Wilson,93636866,School of Humanities & Social Sciences,2025,2029,Male,International Relations,Sponsored,German,122,Undergraduate,21,41
David Smith,24565592,School of Pharmacy & Health Sciences,2023,2027,Female,Pharmacology,Sponsored,British,154,Undergraduate,47,44
John Williams,80126588,Chandaria School of Business,2025,2027,Other,Finance,Self-sponsored,American,52,Masters,25,15
John Brown,98952765,School of Humanities & Social Sciences,2023,2027,Other,Psychology,Sponsored,Mexican,156,Undergraduate,36,44
Emily Brown,56395840,Chandaria School of Business,2023,2027,Female,Human Resource Management,Sponsored,British,156,Undergraduate,31,41
Sarah Davis,24564816,Chandaria School of Business,2022,2026,Female,Human Resource Management,Self-sponsored,American,148,Undergraduate,46,41
Peter Brown,85607366,School of Pharmacy & Health Sciences,2024,2027,Female,Public Health,Sponsored,Brazilian,55,PhD,33,13
Michael Brown,32775842,"School of Graduate Studies, Research & Extension",2023,2027,Female,Research Methodology,Sponsored,Nigerian,136,Undergraduate,15,43
Jane Williams,57770155,Chandaria School of Business,2025,2028,Female,Marketing,Sponsored,Kenyan,158,Undergraduate,38,43
Peter Brown,10579584,"School of Graduate Studies, Research & Extension",2022,2024,Male,Research Methodology,Sponsored,German,46,Masters,45,12
Sarah Williams,30985110,School of Humanities & Social Sciences,2023,2027,Female,International Relations,Self-sponsored,Tanzanian,135,Undergraduate,18,44
Sarah Brown,94059037,School of Humanities & Social Sciences,2024,2027,Other,International Relations,Self-sponsored,French,120,Undergraduate,20,41
Sarah Davis,80583086,School of Pharmacy & Health Sciences,2023,2024,Other,Pharmacology,Sponsored,Kenyan,40,Masters,49,15
Peter Brown,63665657,School of Humanities & Social Sciences,2022,2026,Female,International Relations,Self-sponsored,Nigerian,80,PhD,25,14
Mary Miller,42371394,School of Pharmacy & Health Sciences,2023,2027,Male,Public Health,Sponsored,South African,130,Undergraduate,31,44
Peter Jones,35071034,School of Humanities & Social Sciences,2022,2023,Male,Psychology,Sponsored,British,34,Masters,49,12
David Smith,60694724,School of Pharmacy & Health Sciences,2022,2025,Male,Nursing,Sponsored,Indian,141,Undergraduate,35,44
Jane Brown,35862008,School of Science & Technology,2025,2026,Male,Biotechnology,Self-sponsored,Rwandan,37,Masters,34,14
John Miller,68187604,School of Humanities & Social Sciences,2023,2027,Female,Psychology,Self-sponsored,Canadian,160,Undergraduate,36,44
Peter Miller,12167061,School of Pharmacy & Health Sciences,2023,2027,Female,Nursing,Sponsored,Kenyan,140,Undergraduate,47,44
Jane Wilson,61121265,Chandaria School of Business,2025,2030,Male,Marketing,Sponsored,British,88,PhD,38,14
John Williams,68625774,School of Humanities & Social Sciences,2022,2026,Male,Psychology,Sponsored,French,61,PhD,15,12
David Miller,13932614,School of Humanities & Social Sciences,2025,2027,Male,International Relations,Sponsored,Kenyan,46,Masters,20,15
John Jones,47377099,Chandaria School of Business,2024,2027,Male,Finance,Self-sponsored,French,85,PhD,13,16
Peter Smith,53973859,School of Pharmacy & Health Sciences,2023,2027,Female,Nursing,Sponsored,Canadian,145,Undergraduate,33,41
Jane Jones,68905482,"School of Graduate Studies, Research & Extension",2025,2026,Female,Advanced Statistics,Self-sponsored,Chinese,37,Masters,47,13
Jane Jones,11128893,"School of Communication, Cinematic & Creative Arts",2024,2028,Female,Film Production,Self-sponsored,Mexican,123,Undergraduate,50,40
Jane Davis,25846578,School of Science & Technology,2023,2024,Other,Biotechnology,Self-sponsored,French,35,Masters,23,16
John Wilson,90785724,School of Science & Technology,2024,2027,Female,Computer Science,Sponsored,Ugandan,84,PhD,43,14
Mary Jones,72693143,School of Humanities & Social Sciences,2025,2028,Other,Sociology,Sponsored,Indian,142,Undergraduate,40,43
Jane Doe,93539823,"School of Communication, Cinematic & Creative Arts",2022,2023,Other,Graphic Design,Self-sponsored,German,45,Masters,47,12
John Smith,92199734,"School of Communication, Cinematic & Creative Arts",2022,2023,Female,Film Production,Self-sponsored,Brazilian,42,Masters,26,16
Jane Brown,23211309,"School of Communication, Cinematic & Creative Arts",2024,2025,Male,Graphic Design,Self-sponsored,British,40,Masters,46,12
Peter Jones,75009248,School of Science & Technology,2024,2027,Male,Biotechnology,Self-sponsored,Tanzanian,84,PhD,37,14
Peter Smith,40362192,School of Humanities & Social Sciences,2025,2028,Female,International Relations,Self-sponsored,Canadian,129,Undergraduate,29,42
Michael Doe,59744557,School of Humanities & Social Sciences,2025,2027,Other,Sociology,Sponsored,Ugandan,35,Masters,29,14
Sarah Smith,12225149,"School of Communication, Cinematic & Creative Arts",2024,2027,Other,Film Production,Self-sponsored,Kenyan,49,PhD,42,16
Emily Smith,31511864,School of Science & Technology,2025,2026,Other,Computer Science,Sponsored,Ugandan,57,Masters,46,12
John Jones,98918381,"School of Communication, Cinematic & Creative Arts",2023,2026,Male,Journalism,Self-sponsored,Chinese,133,Undergraduate,19,43
Peter Brown,73970215,School of Pharmacy & Health Sciences,2023,2026,Other,Public Health,Self-sponsored,South African,85,PhD,36,14
Michael Jones,43417957,School of Humanities & Social Sciences,2022,2026,Male,Sociology,Self-sponsored,German,57,PhD,23,12
Michael Miller,18582215,School of Pharmacy & Health Sciences,2024,2029,Other,Public Health,Sponsored,Ugandan,54,PhD,40,13
Sarah Davis,84994652,School of Humanities & Social Sciences,2025,2029,Female,Sociology,Self-sponsored,Rwandan,154,Undergraduate,44,41
Jane Miller,23598027,"School of Communication, Cinematic & Creative Arts",2024,2025,Female,Journalism,Self-sponsored,Mexican,44,Masters,25,13
Michael Doe,25017083,"School of Graduate Studies, Research & Extension",2025,2029,Other,Research Methodology,Sponsored,Ugandan,147,Undergraduate,39,42
Sarah Brown,64675805,Chandaria School of Business,2023,2025,Female,Human Resource Management,Self-sponsored,British,30,Masters,12,13
Sarah Brown,51259110,"School of Communication, Cinematic & Creative Arts",2023,2026,Male,Film Production,Sponsored,Rwandan,71,PhD,29,12
Sarah Williams,51553291,Chandaria School of Business,2022,2025,Other,Finance,Sponsored,Mexican,88,PhD,49,12
Peter Jones,79506595,"School of Communication, Cinematic & Creative Arts",2024,2027,Other,Graphic Design,Sponsored,Brazilian,128,Undergraduate,19,40
Jane Doe,87087439,School of Science & Technology,2024,2027,Other,Computer Science,Sponsored,Chinese,55,PhD,16,14
Jane Jones,25168451,"School of Communication, Cinematic & Creative Arts",2025,2030,Male,Journalism,Self-sponsored,Nigerian,45,PhD,17,15
Sarah Williams,26673098,"School of Communication, Cinematic & Creative Arts",2023,2025,Other,Film Production,Sponsored,British,60,Masters,21,13
Mary Brown,14971743,School of Humanities & Social Sciences,2024,2027,Other,International Relations,Sponsored,Chinese,63,PhD,20,14
Emily Jones,29262701,School of Humanities & Social Sciences,2022,2023,Female,International Relations,Sponsored,Ugandan,37,Masters,37,16
Mary Williams,31359144,"School of Communication, Cinematic & Creative Arts",2023,2025,Female,Graphic Design,Self-sponsored,American,57,Masters,34,15
Mary Williams,23427153,School of Science & Technology,2023,2027,Female,Mathematics,Self-sponsored,Mexican,56,PhD,35,13
Peter Jones,54461669,School of Pharmacy & Health Sciences,2024,2027,Female,Nursing,Self-sponsored,Mexican,58,PhD,40,16
Michael Davis,68509481,Chandaria School of Business,2024,2027,Other,Human Resource Management,Self-sponsored,French,125,Undergraduate,33,42
John Williams,21809005,"School of Graduate Studies, Research & Extension",2022,2026,Male,Thesis Writing,Sponsored,British,131,Undergraduate,34,44
Emily Jones,93972334,School of Humanities & Social Sciences,2023,2028,Other,Sociology,Sponsored,American,78,PhD,29,12
Michael Davis,54071906,"School of Communication, Cinematic & Creative Arts",2024,2029,Male,Journalism,Self-sponsored,Indian,56,PhD,15,12
Mary Doe,32736823,School of Science & Technology,2024,2029,Other,Biotechnology,Sponsored,Ugandan,88,PhD,34,12
Mary Wilson,61224281,"School of Communication, Cinematic & Creative Arts",2023,2026,Female,Graphic Design,Self-sponsored,Tanzanian,130,Undergraduate,48,43
Emily Miller,47214385,School of Humanities & Social Sciences,2023,2027,Other,International Relations,Self-sponsored,Ugandan,149,Undergraduate,15,44
David Jones,44506948,Chandaria School of Business,2025,2026,Other,Human Resource Management,Sponsored,Tanzanian,42,Masters,24,13
John Jones,83548450,Chandaria School of Business,2024,2027,Other,Finance,Self-sponsored,Ugandan,80,PhD,22,16
David Davis,96907880,Chandaria School of Business,2023,2024,Male,Human Resource Management,Sponsored,Tanzanian,60,Masters,33,14
David Brown,26314361,School of Science & Technology,2022,2023,Other,Mathematics,Self-sponsored,Rwandan,51,Masters,34,12
Jane Williams,85557764,School of Humanities & Social Sciences,2023,2027,Other,Sociology,Sponsored,Rwandan,129,Undergraduate,16,43
Emily Jones,24558781,"School of Communication, Cinematic & Creative Arts",2024,2029,Other,Journalism,Sponsored,Indian,84,PhD,28,14
Michael Doe,12157713,"School of Graduate Studies, Research & Extension",2023,2025,Female,Research Methodology,Sponsored,Canadian,54,Masters,26,16
Peter Smith,91693288,Chandaria School of Business,2025,2026,Male,Marketing,Sponsored,British,45,Masters,18,16
David Doe,36656983,"School of Communication, Cinematic & Creative Arts",2023,2027,Other,Film Production,Self-sponsored,Kenyan,124,Undergraduate,30,40
Mary Miller,60964922,School of Humanities & Social Sciences,2022,2027,Male,Psychology,Self-sponsored,Tanzanian,52,PhD,37,14
John Doe,49563587,Chandaria School of Business,2024,2027,Male,Human Resource Management,Sponsored,German,127,Undergraduate,16,42
Sarah Miller,67543253,Chandaria School of Business,2023,2026,Other,Marketing,Sponsored,South African,156,Undergraduate,44,43
Michael Miller,65893238,School of Pharmacy & Health Sciences,2022,2026,Male,Public Health,Self-sponsored,German,154,Undergraduate,33,40
John Williams,83495900,School of Pharmacy & Health Sciences,2025,2028,Other,Nursing,Sponsored,French,70,PhD,48,14
Emily Davis,32070013,School of Science & Technology,2023,2027,Other,Computer Science,Sponsored,Mexican,136,Undergraduate,19,40
Sarah Miller,57198821,School of Science & Technology,2025,2029,Other,Biotechnology,Self-sponsored,British,159,Undergraduate,16,41
Emily Smith,90671868,Chandaria School of Business,2023,2025,Male,Finance,Self-sponsored,Nigerian,52,Masters,21,15
Emily Davis,39108468,School of Science & Technology,2025,2027,Female,Mathematics,Self-sponsored,British,50,Masters,35,15
Jane Doe,51207845,School of Science & Technology,2024,2026,Other,Computer Science,Self-sponsored,German,58,Masters,27,13
Michael Miller,33324321,School of Science & Technology,2023,2026,Female,Computer Science,Sponsored,Mexican,67,PhD,43,13
Peter Wilson,81394178,Chandaria School of Business,2022,2023,Male,Human Resource Management,Self-sponsored,South African,56,Masters,47,12
Michael Brown,69211285,"School of Communication, Cinematic & Creative Arts",2022,2026,Female,Journalism,Sponsored,German,50,PhD,20,16
Michael Wilson,32369520,"School of Communication, Cinematic & Creative Arts",2023,2027,Male,Graphic Design,Sponsored,Australian,158,Undergraduate,10,40
Sarah Miller,80704877,School of Humanities & Social Sciences,2022,2023,Female,International Relations,Self-sponsored,Rwandan,53,Masters,30,13
Jane Brown,83280212,School of Pharmacy & Health Sciences,2023,2027,Other,Nursing,Self-sponsored,South African,130,Undergraduate,16,41
John Davis,53224150,School of Humanities & Social Sciences,2025,2027,Female,Psychology,Sponsored,South African,42,Masters,11,15
Mary Davis,83707431,"School of Graduate Studies, Research & Extension",2023,2025,Female,Research Methodology,Self-sponsored,Ugandan,60,Masters,48,14
John Miller,56906111,School of Humanities & Social Sciences,2023,2025,Male,Psychology,Self-sponsored,French,35,Masters,22,15
Sarah Williams,90487684,"School of Communication, Cinematic & Creative Arts",2025,2028,Other,Journalism,Self-sponsored,South African,121,Undergraduate,30,43
Peter Smith,31633476,School of Science & Technology,2022,2025,Other,Computer Science,Sponsored,Australian,159,Undergraduate,26,42
Mary Miller,41137053,School of Humanities & Social Sciences,2025,2028,Female,Psychology,Self-sponsored,Tanzanian,142,Undergraduate,30,41
David Davis,30441916,Chandaria School of Business,2024,2025,Other,Marketing,Sponsored,South African,49,Masters,32,14
Michael Brown,58907282,School of Humanities & Social Sciences,2025,2028,Other,Sociology,Sponsored,Australian,123,Undergraduate,44,42
Mary Williams,24127980,School of Pharmacy & Health Sciences,2024,2028,Other,Public Health,Self-sponsored,British,86,PhD,22,16
Jane Doe,24252786,School of Pharmacy & Health Sciences,2025,2029,Female,Pharmacology,Sponsored,Canadian,120,Undergraduate,48,43
Sarah Williams,79723420,"School of Communication, Cinematic & Creative Arts",2022,2026,Male,Graphic Design,Self-sponsored,Tanzanian,59,PhD,11,15
Emily Miller,80462175,School of Science & Technology,2025,2028,Other,Mathematics,Self-sponsored,Nigerian,45,PhD,15,15
Emily Smith,10216924,Chandaria School of Business,2023,2025,Other,Human Resource Management,Sponsored,Nigerian,33,Masters,45,12
Mary Jones,22120009,School of Science & Technology,2023,2025,Male,Computer Science,Self-sponsored,Australian,41,Masters,14,12
Mary Wilson,92481329,School of Science & Technology,2024,2028,Female,Biotechnology,Sponsored,Kenyan,124,Undergraduate,13,44
Mary Wilson,73997380,School of Science & Technology,2025,2028,Other,Mathematics,Self-sponsored,Canadian,78,PhD,33,15
John Jones,80807713,School of Science & Technology,2022,2025,Other,Mathematics,Sponsored,South African,149,Undergraduate,39,43
Mary Davis,83193570,School of Science & Technology,2022,2026,Other,Mathematics,Sponsored,Indian,142,Undergraduate,18,40
Peter Jones,85076604,"School of Communication, Cinematic & Creative Arts",2024,2025,Female,Journalism,Self-sponsored,Tanzanian,40,Masters,46,16
Jane Wilson,45318664,School of Humanities & Social Sciences,2022,2023,Female,Psychology,Sponsored,American,51,Masters,16,15
John Wilson,37496109,School of Science & Technology,2025,2030,Other,Biotechnology,Sponsored,Australian,80,PhD,17,15
Michael Williams,39292580,School of Humanities & Social Sciences,2023,2028,Other,Psychology,Sponsored,Brazilian,86,PhD,18,12
Mary Jones,46785289,"School of Communication, Cinematic & Creative Arts",2024,2027,Male,Film Production,Sponsored,Australian,138,Undergraduate,36,40
Peter Smith,24802535,School of Pharmacy & Health Sciences,2023,2026,Other,Nursing,Sponsored,Tanzanian,138,Undergraduate,13,44
John Smith,33172099,School of Pharmacy & Health Sciences,2023,2027,Male,Public Health,Self-sponsored,American,60,PhD,25,15
Sarah Doe,92711477,"School of Graduate Studies, Research & Extension",2024,2025,Female,Advanced Statistics,Sponsored,British,53,Masters,17,16
Michael Jones,18941158,"School of Graduate Studies, Research & Extension",2024,2025,Other,Research Methodology,Self-sponsored,Australian,57,Masters,10,12
Jane Williams,30516442,Chandaria School of Business,2025,2028,Male,Finance,Self-sponsored,Mexican,121,Undergraduate,23,40
Mary Williams,45966296,School of Humanities & Social Sciences,2022,2026,Female,Sociology,Self-sponsored,Brazilian,67,PhD,33,14
Jane Smith,89790262,School of Pharmacy & Health Sciences,2022,2027,Other,Pharmacology,Self-sponsored,Kenyan,82,PhD,37,13
Sarah Davis,35540349,School of Pharmacy & Health Sciences,2025,2027,Other,Nursing,Sponsored,German,41,Masters,33,14
Mary Williams,58742914,School of Science & Technology,2025,2028,Male,Biotechnology,Sponsored,Australian,144,Undergraduate,26,44
Sarah Williams,39387885,"School of Communication, Cinematic & Creative Arts",2025,2029,Female,Graphic Design,Self-sponsored,Canadian,149,Undergraduate,20,41
Jane Wilson,78448921,School of Humanities & Social Sciences,2022,2026,Male,Sociology,Self-sponsored,South African,59,PhD,24,13
John Brown,11572461,School of Pharmacy & Health Sciences,2022,2023,Other,Public Health,Sponsored,Chinese,37,Masters,12,13
Michael Miller,18340365,School of Pharmacy & Health Sciences,2025,2026,Other,Pharmacology,Self-sponsored,Rwandan,34,Masters,14,15
Peter Wilson,96756587,Chandaria School of Business,2023,2027,Male,Human Resource Management,Sponsored,German,134,Undergraduate,17,42
Mary Wilson,77313901,School of Pharmacy & Health Sciences,2024,2025,Other,Public Health,Self-sponsored,American,58,Masters,47,12
Jane Miller,40514538,Chandaria School of Business,2024,2026,Male,Finance,Sponsored,Kenyan,36,Masters,21,16
Emily Williams,55988080,Chandaria School of Business,2022,2023,Male,Finance,Self-sponsored,Brazilian,42,Masters,44,13
Jane Doe,24558336,Chandaria School of Business,2025,2029,Other,Finance,Sponsored,Indian,46,PhD,11,13
Michael Williams,37335602,School of Science & Technology,2024,2027,Male,Computer Science,Sponsored,Brazilian,76,PhD,32,16
Mary Miller,79214646,School of Pharmacy & Health Sciences,2022,2025,Other,Pharmacology,Sponsored,Mexican,52,PhD,23,16
Peter Jones,15141374,School of Science & Technology,2024,2026,Other,Mathematics,Sponsored,South African,31,Masters,15,14
Jane Brown,51654303,School of Science & Technology,2025,2028,Other,Mathematics,Self-sponsored,Tanzanian,152,Undergraduate,26,44
Emily Wilson,35526726,"School of Graduate Studies, Research & Extension",2024,2027,Male,Thesis Writing,Self-sponsored,Nigerian,127,Undergraduate,30,43
Michael Jones,86631148,"School of Communication, Cinematic & Creative Arts",2023,2026,Other,Journalism,Sponsored,American,48,PhD,34,12
Sarah Davis,31530065,School of Science & Technology,2023,2024,Female,Mathematics,Sponsored,Mexican,49,Masters,21,13
Mary Wilson,91455088,"School of Graduate Studies, Research & Extension",2023,2024,Male,Research Methodology,Self-sponsored,Tanzanian,57,Masters,46,14
Michael Smith,59254113,Chandaria School of Business,2023,2024,Female,Human Resource Management,Self-sponsored,Nigerian,60,Masters,42,16
Mary Davis,19829905,"School of Graduate Studies, Research & Extension",2025,2029,Other,Advanced Statistics,Sponsored,Mexican,123,Undergraduate,43,42
David Davis,16468590,Chandaria School of Business,2023,2027,Female,Finance,Self-sponsored,Ugandan,157,Undergraduate,35,41
Jane Jones,11030788,Chandaria School of Business,2024,2025,Other,Marketing,Self-sponsored,Rwandan,43,Masters,36,12
Emily Smith,95268901,"School of Communication, Cinematic & Creative Arts",2023,2027,Female,Film Production,Sponsored,Nigerian,120,Undergraduate,39,41
Michael Williams,82616909,Chandaria School of Business,2025,2028,Other,Finance,Self-sponsored,Rwandan,70,PhD,28,12
David Williams,50051606,"School of Graduate Studies, Research & Extension",2025,2027,Other,Advanced Statistics,Sponsored,Tanzanian,33,Masters,12,15
David Williams,88358541,School of Science & Technology,2023,2025,Female,Biotechnology,Self-sponsored,American,52,Masters,43,15
John Jones,99638974,Chandaria School of Business,2024,2027,Female,Human Resource Management,Self-sponsored,Tanzanian,49,PhD,17,13
Sarah Smith,84642511,"School of Communication, Cinematic & Creative Arts",2022,2023,Other,Graphic Design,Sponsored,Mexican,47,Masters,45,13
Jane Smith,57523468,School of Science & Technology,2024,2025,Other,Mathematics,Sponsored,Canadian,60,Masters,17,13
Jane Williams,50011038,"School of Communication, Cinematic & Creative Arts",2022,2023,Female,Journalism,Self-sponsored,American,33,Masters,11,15
David Doe,23373587,"School of Communication, Cinematic & Creative Arts",2024,2029,Female,Film Production,Sponsored,Rwandan,64,PhD,46,13
Jane Doe,78056058,School of Science & Technology,2022,2024,Female,Biotechnology,Self-sponsored,Nigerian,50,Masters,28,13
David Miller,34467239,"School of Communication, Cinematic & Creative Arts",2024,2025,Male,Journalism,Self-sponsored,Canadian,36,Masters,45,13
Sarah Wilson,67730800,Chandaria School of Business,2022,2025,Female,Human Resource Management,Self-sponsored,Tanzanian,77,PhD,11,16
Peter Wilson,76693706,School of Pharmacy & Health Sciences,2022,2023,Other,Pharmacology,Sponsored,Australian,43,Masters,40,15
Sarah Wilson,43272588,"School of Communication, Cinematic & Creative Arts",2024,2027,Female,Graphic Design,Self-sponsored,American,154,Undergraduate,23,44
Peter Doe,19295721,School of Humanities & Social Sciences,2022,2027,Male,Sociology,Self-sponsored,South African,50,PhD,15,14
David Wilson,27561260,"School of Graduate Studies, Research & Extension",2023,2028,Female,Thesis Writing,Sponsored,Rwandan,86,PhD,30,15
David Wilson,97793379,"School of Graduate Studies, Research & Extension",2023,2027,Male,Research Methodology,Sponsored,Ugandan,61,PhD,22,12
Sarah Miller,94740517,"School of Communication, Cinematic & Creative Arts",2023,2025,Male,Film Production,Sponsored,Brazilian,48,Masters,34,16
Peter Jones,85054060,"School of Communication, Cinematic & Creative Arts",2023,2026,Female,Journalism,Sponsored,Nigerian,83,PhD,18,12
Mary Miller,75225181,"School of Graduate Studies, Research & Extension",2025,2028,Other,Research Methodology,Sponsored,Rwandan,47,PhD,18,16
Mary Wilson,59674404,School of Science & Technology,2024,2025,Other,Computer Science,Self-sponsored,Mexican,51,Masters,34,14
Jane Wilson,95539264,"School of Communication, Cinematic & Creative Arts",2022,2024,Male,Graphic Design,Self-sponsored,Australian,53,Masters,46,14
Peter Miller,42611320,School of Pharmacy & Health Sciences,2025,2028,Other,Public Health,Self-sponsored,Nigerian,54,PhD,23,16
Mary Smith,79443601,"School of Communication, Cinematic & Creative Arts",2023,2026,Male,Journalism,Self-sponsored,German,68,PhD,37,14
Peter Smith,59993331,"School of Communication, Cinematic & Creative Arts",2024,2027,Male,Journalism,Sponsored,Canadian,145,Undergraduate,18,44
David Davis,15396664,School of Pharmacy & Health Sciences,2024,2026,Male,Pharmacology,Self-sponsored,Kenyan,48,Masters,50,15
Sarah Smith,85242536,Chandaria School of Business,2025,2026,Other,Finance,Self-sponsored,Mexican,39,Masters,28,12
Michael Doe,73600247,"School of Communication, Cinematic & Creative Arts",2023,2024,Other,Journalism,Sponsored,Ugandan,41,Masters,50,16
Sarah Jones,96416154,School of Humanities & Social Sciences,2024,2028,Other,International Relations,Sponsored,Tanzanian,71,PhD,19,15
John Brown,36377171,School of Humanities & Social Sciences,2025,2028,Female,International Relations,Self-sponsored,Indian,155,Undergraduate,37,44
John Davis,74390751,School of Humanities & Social Sciences,2022,2027,Male,Psychology,Sponsored,South African,58,PhD,34,13
David Jones,59513186,Chandaria School of Business,2024,2028,Other,Marketing,Self-sponsored,Kenyan,78,PhD,26,16
Mary Davis,86859995,School of Science & Technology,2024,2027,Male,Mathematics,Sponsored,Indian,147,Undergraduate,48,41
John Brown,11855530,School of Science & Technology,2024,2028,Other,Mathematics,Self-sponsored,Tanzanian,123,Undergraduate,13,41
